t,sum_ma,max_ma,min_mv,r15,r98_mv,r98_ma,ra0_mv,ra0_ma,r60_0,r60_1,r60_2,r60_3,r60_4,r60_5,r60_6,r60_7,r70_0,r70_1,r70_2,rc0_0,rc0_1,rc0_2
829.452,2360,440,12160,51,12160,1180,12152,368,453,476,473,467,488,481,423,453,-28,-181,-4130,4120412,6269077,3008214
830.007,7260,1300,12136,50,12128,3600,12144,448,453,477,475,468,488,482,423,454,-21,-179,-4135,4120412,6269078,3008214
830.545,16860,3000,12096,51,12072,8460,12136,560,453,478,480,469,488,483,424,455,-21,-179,-4135,4120412,6269078,3008214
831.085,24240,4300,12056,51,12032,12260,12120,640,454,479,483,470,489,483,425,456,-32,-182,-4131,4120412,6269078,3008215
831.625,29760,5280,12032,51,12000,15060,12120,720,454,480,487,471,489,484,427,457,-32,-182,-4131,4120412,6269078,3008215
832.164,34140,6060,12008,51,11968,17240,12112,768,455,481,491,472,488,485,429,458,-24,-176,-4135,4120412,6269078,3008216
832.702,37420,6640,11992,51,11952,18940,12104,816,455,483,494,474,488,485,431,460,-24,-176,-4135,4120412,6269078,3008216
833.241,39980,7100,11984,51,11936,20260,12104,840,455,484,496,476,488,485,433,461,-22,-180,-4134,4120412,6269078,3008217
833.781,41140,7300,11976,51,11928,20820,12104,864,456,485,499,478,488,486,434,462,-22,-180,-4134,4120412,6269078,3008218
834.323,42220,7500,11968,51,11928,21360,12096,888,456,486,501,480,488,487,435,463,-25,-183,-4129,4120412,6269078,3008218
834.865,42860,7620,11968,51,11920,21700,12096,896,456,488,503,481,488,488,436,465,-25,-183,-4129,4120412,6269078,3008219
835.406,43220,7700,11968,52,11920,21960,12096,904,457,490,505,483,489,489,438,466,-29,-179,-4133,4120412,6269078,3008219
835.947,43300,7700,11968,52,11912,22120,12096,904,458,491,507,485,490,490,440,467,-29,-179,-4133,4120412,6269078,3008220
836.49,43720,7760,11960,52,11912,22120,12096,912,458,493,509,487,490,491,441,468,-27,-182,-4141,4120412,6269078,3008220
837.032,44040,7820,11960,52,11912,22280,12096,920,459,495,511,489,491,491,442,469,-27,-182,-4141,4120412,6269078,3008221
837.571,44420,7880,11960,52,11912,22460,12096,928,459,496,513,491,491,493,443,470,-26,-180,-4139,4120412,6269078,3008221
838.111,44800,7960,11960,52,11904,22660,12096,936,460,498,515,492,492,493,445,471,-26,-180,-4139,4120412,6269078,3008222
838.651,45120,8020,11960,53,11904,22820,12096,944,460,500,518,493,493,494,446,472,-23,-185,-4142,4120412,6269078,3008222
839.196,45360,8060,11960,53,11904,22960,12096,944,460,501,520,495,494,495,448,473,-23,-185,-4142,4120412,6269078,3008223
839.734,45580,8080,11952,53,11904,23080,12096,952,460,503,522,497,495,496,448,474,-18,-182,-4137,4120412,6269078,3008223
840.273,45720,8120,11952,53,11904,23160,12096,952,461,505,524,498,495,496,450,475,-18,-182,-4137,4120412,6269078,3008224
840.813,45860,8140,11952,53,11904,23220,12096,960,461,506,526,500,496,497,451,476,-24,-179,-4137,4120412,6269078,3008225
841.352,45980,8160,11952,53,11904,23280,12096,960,461,507,528,501,497,498,452,477,-24,-179,-4137,4120412,6269078,3008225
841.891,46060,8180,11952,53,11904,23340,12096,960,461,509,530,503,498,498,453,478,-26,-181,-4135,4120412,6269078,3008226
842.43,46120,8180,11952,54,11896,23360,12096,960,462,511,532,505,498,499,454,479,-26,-181,-4135,4120412,6269078,3008226
842.969,46200,8200,11952,54,11896,23400,12096,960,463,512,535,506,499,500,455,480,-20,-176,-4134,4120412,6269078,3008227
843.507,46260,8220,11952,54,11896,23440,12096,960,463,514,536,508,500,501,456,481,-20,-176,-4134,4120412,6269078,3008227
844.047,46320,8220,11952,54,11896,23460,12096,960,463,515,538,510,501,501,457,482,-23,-177,-4137,4120412,6269078,3008228
844.585,46360,8220,11952,54,11896,23500,12096,960,463,517,541,511,501,502,458,483,-23,-177,-4137,4120412,6269078,3008228
845.125,46400,8240,11952,54,11896,23500,12096,968,465,518,543,513,502,503,460,485,-19,-175,-4145,4120412,6269078,3008229
845.664,46420,8240,11952,54,11896,23520,12096,968,465,520,545,515,503,504,461,485,-19,-175,-4145,4120412,6269078,3008229
846.203,46480,8260,11952,55,11896,23540,12096,968,465,522,546,516,504,505,461,486,-19,-175,-4145,4120412,6269078,3008230
846.742,46500,8260,11952,55,11896,23560,12096,968,466,523,549,517,505,506,463,488,-24,-177,-4137,4120412,6269078,3008230
847.281,46540,8260,11952,55,11896,23560,12096,968,466,525,551,519,506,506,463,488,-24,-177,-4137,4120412,6269078,3008231
