epoch,iso,elapsed,mv1,mv2,mv3,mv4,mv5,mv6,ma1,ma2,ma3,ma4,ma5,ma6,ma_sum,ma_max,ma_min,ma_spread,mv_min,gpu_w,gpu_c,gpu_util,sm_mhz,mem_mhz,mem_c,read_error
1786722814.585,2026-08-14T17:53:34,0.000,12168,12160,12168,12168,12160,12168,760,780,760,740,840,800,4680,840,740,100,12160,,,,,,,
1786722815.089,2026-08-14T17:53:35,0.500,12176,12160,12176,12168,12168,12168,720,720,720,680,800,740,4380,800,680,120,12160,35.37,47,3,532,810,N/A,
1786722815.589,2026-08-14T17:53:35,1.000,12176,12168,12176,12168,12168,12176,660,660,640,620,720,680,3980,720,620,100,12168,31.96,46,2,487,810,N/A,
1786722816.100,2026-08-14T17:53:36,1.500,12176,12168,12176,12168,12168,12176,600,620,600,580,680,640,3720,680,580,100,12168,20.79,46,2,480,405,N/A,
1786722816.584,2026-08-14T17:53:36,2.000,12176,12168,12176,12168,12168,12168,720,740,720,700,800,760,4440,800,700,100,12168,20.79,46,2,480,405,N/A,
1786722817.084,2026-08-14T17:53:37,2.500,12176,12160,12176,12168,12168,12168,780,800,800,760,860,820,4820,860,760,100,12160,39.83,48,7,1912,13801,N/A,
1786722817.584,2026-08-14T17:53:37,3.000,12168,12160,12176,12168,12168,12168,800,820,820,800,900,840,4980,900,800,100,12160,63.24,47,0,2670,13801,N/A,
1786722818.084,2026-08-14T17:53:38,3.500,12168,12160,12168,12168,12160,12168,820,840,840,820,920,860,5100,920,820,100,12160,65.85,47,1,2482,13801,N/A,
1786722818.585,2026-08-14T17:53:38,4.001,12168,12160,12168,12168,12160,12168,820,840,840,820,920,860,5100,920,820,100,12160,60.72,48,1,2482,13801,N/A,
1786722819.084,2026-08-14T17:53:39,4.501,12176,12168,12176,12168,12168,12168,780,800,800,760,860,820,4820,860,760,100,12168,57.57,47,0,1747,7001,N/A,
1786722819.588,2026-08-14T17:53:39,5.001,12176,12168,12176,12168,12168,12168,740,760,760,720,820,760,4560,820,720,100,12168,46.32,47,0,877,7001,N/A,
1786722820.088,2026-08-14T17:53:40,5.501,12176,12168,12176,12168,12168,12168,700,720,720,680,800,740,4360,800,680,120,12168,38.69,47,1,577,810,N/A,
