epoch,iso,elapsed,mv1,mv2,mv3,mv4,mv5,mv6,ma1,ma2,ma3,ma4,ma5,ma6,ma_sum,ma_max,ma_min,ma_spread,mv_min,gpu_w,gpu_c,gpu_util,sm_mhz,mem_mhz,mem_c,read_error
1786726755.135,2026-08-14T18:59:15,0.000,12168,12160,12168,12160,12160,12168,440,460,440,420,500,460,2720,500,420,80,12160,,,,,,,
1786726755.633,2026-08-14T18:59:15,0.500,12168,12160,12168,12160,12160,12160,460,460,460,440,500,480,2800,500,440,60,12160,18.90,50,0,375,405,N/A,
1786726756.134,2026-08-14T18:59:16,1.000,12168,12160,12168,12160,12160,12168,460,460,460,440,520,480,2820,520,440,80,12160,21.34,50,6,472,405,N/A,
1786726756.634,2026-08-14T18:59:16,1.500,12168,12160,12168,12160,12160,12168,460,460,460,440,520,460,2800,520,440,80,12160,21.92,50,4,375,405,N/A,
1786726757.134,2026-08-14T18:59:17,2.000,12168,12160,12168,12160,12160,12160,460,460,460,440,500,460,2780,500,440,60,12160,20.15,50,4,420,405,N/A,
1786726757.634,2026-08-14T18:59:17,2.500,12168,12160,12168,12160,12160,12168,460,460,440,440,500,460,2760,500,440,60,12160,19.70,50,7,315,405,N/A,
1786726758.134,2026-08-14T18:59:18,3.000,12168,12160,12168,12160,12160,12160,460,460,460,440,500,460,2780,500,440,60,12160,18.94,50,6,367,405,N/A,
1786726758.634,2026-08-14T18:59:18,3.500,12168,12160,12168,12160,12160,12160,460,460,460,440,500,460,2780,500,440,60,12160,18.96,50,0,375,405,N/A,
1786726759.134,2026-08-14T18:59:19,4.001,12168,12160,12168,12160,12160,12160,480,480,480,460,540,480,2920,540,460,80,12160,23.26,50,3,555,405,N/A,
1786726759.634,2026-08-14T18:59:19,4.501,12168,12160,12168,12160,12160,12160,480,480,480,460,540,480,2920,540,460,80,12160,25.31,50,0,412,405,N/A,
1786726760.134,2026-08-14T18:59:20,5.001,12168,12160,12168,12160,12160,12160,480,500,480,460,540,500,2960,540,460,80,12160,22.63,50,3,592,405,N/A,
1786726760.634,2026-08-14T18:59:20,5.501,12168,12160,12168,12160,12160,12160,480,480,480,460,540,500,2940,540,460,80,12160,21.21,50,5,390,405,N/A,
1786726761.137,2026-08-14T18:59:21,6.001,12168,12160,12168,12160,12160,12160,460,480,480,440,540,500,2900,540,440,100,12160,20.48,50,4,495,405,N/A,
1786726761.634,2026-08-14T18:59:21,6.501,12168,12160,12168,12160,12160,12160,460,480,480,440,520,500,2880,520,440,80,12160,21.07,50,6,360,405,N/A,
1786726762.134,2026-08-14T18:59:22,7.001,12168,12160,12168,12160,12160,12160,460,460,460,440,520,480,2820,520,440,80,12160,19.59,50,4,562,405,N/A,
1786726762.636,2026-08-14T18:59:22,7.501,12168,12160,12168,12160,12160,12160,460,460,460,420,520,480,2800,520,420,100,12160,18.09,50,4,352,405,N/A,
1786726763.135,2026-08-14T18:59:23,8.001,12168,12160,12168,12160,12160,12160,460,460,460,420,500,480,2780,500,420,80,12160,16.91,50,7,352,405,N/A,
1786726763.632,2026-08-14T18:59:23,8.501,12168,12160,12168,12160,12160,12160,460,460,460,420,500,480,2780,500,420,80,12160,18.33,50,3,457,405,N/A,
1786726764.135,2026-08-14T18:59:24,9.001,12168,12160,12168,12160,12160,12160,460,460,460,440,500,480,2800,500,440,60,12160,18.76,50,0,435,405,N/A,
1786726764.632,2026-08-14T18:59:24,9.501,12168,12160,12168,12160,12160,12160,460,460,460,440,500,480,2800,500,440,60,12160,18.80,50,4,412,405,N/A,
1786726765.134,2026-08-14T18:59:25,10.001,12168,12160,12168,12160,12160,12160,460,460,460,440,500,480,2800,500,440,60,12160,19.37,50,4,540,405,N/A,
1786726765.635,2026-08-14T18:59:25,10.501,12168,12160,12168,12160,12160,12160,460,480,460,460,520,480,2860,520,460,60,12160,21.36,50,3,427,405,N/A,
1786726766.136,2026-08-14T18:59:26,11.001,12168,12160,12168,12160,12160,12160,480,480,480,460,520,500,2920,520,460,60,12160,22.38,50,4,360,405,N/A,
1786726766.633,2026-08-14T18:59:26,11.502,12168,12160,12168,12160,12160,12160,480,480,480,460,520,500,2920,520,460,60,12160,23.13,50,3,427,405,N/A,
1786726767.135,2026-08-14T18:59:27,12.002,12168,12160,12168,12160,12160,12160,480,480,480,480,540,500,2960,540,480,60,12160,24.05,50,3,412,405,N/A,
1786726767.634,2026-08-14T18:59:27,12.502,12168,12160,12168,12160,12160,12160,480,480,480,480,540,500,2960,540,480,60,12160,23.47,50,4,397,405,N/A,
1786726768.135,2026-08-14T18:59:28,13.002,12168,12160,12168,12160,12160,12160,480,500,480,460,540,500,2960,540,460,80,12160,23.22,50,3,525,405,N/A,
1786726768.635,2026-08-14T18:59:28,13.502,12168,12160,12168,12160,12160,12160,480,500,480,460,540,500,2960,540,460,80,12160,22.69,50,11,427,405,N/A,
1786726769.137,2026-08-14T18:59:29,14.002,12168,12160,12168,12160,12160,12160,500,500,500,480,560,520,3060,560,480,80,12160,21.30,50,3,420,405,N/A,
1786726769.635,2026-08-14T18:59:29,14.502,12168,12160,12168,12160,12160,12160,500,520,520,480,560,520,3100,560,480,80,12160,24.57,50,8,450,405,N/A,
1786726770.136,2026-08-14T18:59:30,15.002,12168,12160,12168,12160,12160,12160,500,520,520,480,560,540,3120,560,480,80,12160,27.91,50,4,412,405,N/A,
1786726770.635,2026-08-14T18:59:30,15.502,12168,12160,12168,12160,12160,12160,500,520,520,480,560,540,3120,560,480,80,12160,26.97,50,0,360,405,N/A,
1786726771.137,2026-08-14T18:59:31,16.002,12168,12160,12168,12160,12160,12160,500,520,520,480,560,540,3120,560,480,80,12160,24.74,50,4,442,405,N/A,
1786726771.636,2026-08-14T18:59:31,16.502,12168,12160,12168,12160,12160,12160,500,520,520,480,580,540,3140,580,480,100,12160,24.92,50,4,375,405,N/A,
1786726772.136,2026-08-14T18:59:32,17.002,12168,12160,12168,12160,12160,12160,500,520,540,480,580,540,3160,580,480,100,12160,25.26,50,4,465,405,N/A,
1786726772.635,2026-08-14T18:59:32,17.502,12168,12160,12168,12160,12160,12160,500,520,520,480,560,540,3120,560,480,80,12160,25.08,50,3,442,405,N/A,
1786726773.136,2026-08-14T18:59:33,18.002,12168,12160,12168,12160,12160,12160,500,520,520,500,560,540,3140,560,500,60,12160,24.30,50,3,420,405,N/A,
1786726773.633,2026-08-14T18:59:33,18.502,12168,12160,12168,12160,12160,12160,500,520,520,500,560,540,3140,560,500,60,12160,25.36,50,4,525,405,N/A,
1786726774.136,2026-08-14T18:59:34,19.002,12168,12160,12168,12160,12160,12160,500,520,520,500,560,540,3140,560,500,60,12160,23.37,50,0,435,405,N/A,
1786726774.636,2026-08-14T18:59:34,19.503,12168,12160,12168,12160,12160,12160,500,500,500,480,560,520,3060,560,480,80,12160,22.03,50,7,427,405,N/A,
1786726775.138,2026-08-14T18:59:35,20.003,12168,12160,12168,12160,12160,12160,500,500,500,480,540,520,3040,540,480,60,12160,20.57,50,0,405,405,N/A,
1786726775.637,2026-08-14T18:59:35,20.503,12168,12160,12168,12160,12160,12160,480,480,500,480,540,500,2980,540,480,60,12160,21.55,50,4,457,405,N/A,
1786726776.136,2026-08-14T18:59:36,21.003,12168,12160,12168,12160,12160,12160,480,500,500,480,540,500,3000,540,480,60,12160,19.56,50,0,360,405,N/A,
1786726776.634,2026-08-14T18:59:36,21.503,12168,12160,12168,12160,12160,12160,480,480,480,460,540,500,2940,540,460,80,12160,20.08,50,3,517,405,N/A,
1786726777.137,2026-08-14T18:59:37,22.003,12168,12160,12168,12160,12160,12160,460,480,480,440,520,500,2880,520,440,80,12160,20.52,50,7,322,405,N/A,
1786726777.636,2026-08-14T18:59:37,22.503,12168,12160,12168,12160,12160,12160,460,460,460,440,520,480,2820,520,440,80,12160,18.98,50,4,360,405,N/A,
1786726778.137,2026-08-14T18:59:38,23.003,12168,12160,12168,12160,12160,12160,460,460,460,440,500,480,2800,500,440,60,12160,17.53,50,0,352,405,N/A,
1786726778.634,2026-08-14T18:59:38,23.503,12168,12160,12168,12160,12160,12160,460,460,460,440,500,480,2800,500,440,60,12160,17.64,50,3,457,405,N/A,
1786726779.137,2026-08-14T18:59:39,24.003,12168,12160,12168,12160,12160,12168,460,460,460,440,500,480,2800,500,440,60,12160,16.94,50,0,412,405,N/A,
